,Country,EdLevel,YearsCodePro,Employment,Salary,UndergradMajor
68225,23,0,6.0,0,12612.0,6
40255,17,0,6.0,0,85776.0,6
36338,11,1,5.0,0,54996.0,10
42683,29,0,2.0,0,22512.0,10
51483,35,2,15.0,0,73678.0,3
28856,25,2,7.0,0,33672.0,6
4779,10,2,12.0,0,48120.0,9
167,34,1,10.0,0,48000.0,6
63104,36,1,13.0,0,152000.0,6
49637,18,2,13.0,2,70264.0,6
60952,26,0,1.0,0,11028.0,6
43621,36,3,9.0,0,90000.0,6
26874,32,0,23.0,0,140648.0,6
28265,6,0,6.0,0,61071.0,6
25417,14,0,2.0,0,8400.0,6
59835,4,0,8.0,0,17868.0,6
32648,36,1,16.0,0,180000.0,10
13447,14,2,6.0,0,12594.0,5
23865,36,0,5.0,0,95000.0,2
27049,36,0,1.0,0,132500.0,6
36222,11,0,6.0,0,80202.0,6
23529,9,0,20.0,0,68745.0,5
26789,20,1,19.0,2,137490.0,8
63053,11,2,2.0,0,50806.0,3
28046,36,0,0.5,0,78000.0,6
28344,36,0,14.0,0,92000.0,6
27635,36,0,2.0,0,64000.0,9
14528,15,2,7.0,1,25080.0,6
20356,25,2,14.0,0,35268.0,6
50922,18,1,6.0,0,38915.0,6
48923,9,2,7.0,0,49185.0,9
68438,10,2,9.0,2,54049.0,6
51763,23,2,12.0,2,60000.0,6
65631,4,0,10.0,0,18967.0,6
23844,36,0,5.0,0,157500.0,0
20068,23,0,4.0,0,4992.0,8
57579,23,0,5.0,0,36324.0,6
48526,33,0,14.0,0,18732.0,6
49519,25,3,15.0,2,45564.0,5
60072,14,0,3.0,0,100524.0,6
40973,10,2,11.0,0,49267.0,6
7579,17,1,5.0,0,108864.0,6
18654,35,1,13.0,0,32712.0,10
27918,36,2,4.0,0,95000.0,6
54656,31,2,4.0,0,55224.0,3
33788,16,2,12.0,0,80202.0,6
69757,34,2,3.0,0,9300.0,9
15528,35,2,13.0,0,39254.0,3
56884,18,3,17.0,0,32429.0,6
40685,36,2,5.0,0,80000.0,6
22824,11,0,5.0,0,54996.0,6
46869,1,0,2.0,0,45097.0,6
5370,36,1,1.0,0,65000.0,6
23222,11,2,4.0,0,73328.0,6
68021,23,0,2.0,0,11436.0,9
4046,36,3,15.0,0,200000.0,6
26446,23,1,10.0,0,23280.0,10
70675,9,2,6.0,0,70044.0,6
55669,10,2,7.0,0,35028.0,6
38251,0,1,0.5,0,8400.0,2
45803,4,0,7.0,0,30240.0,9
50052,35,0,8.0,0,62045.0,6
33019,10,2,7.0,2,137484.0,6
18838,19,0,4.0,0,27960.0,6
21393,32,3,5.0,0,100463.0,6
34517,36,1,5.0,0,80000.0,8
44622,36,0,6.0,0,78000.0,6
18054,36,2,7.0,0,81500.0,5
17403,36,0,1.0,0,70000.0,3
34158,36,0,4.0,0,200000.0,6
53073,4,1,9.0,0,60480.0,6
55650,6,2,6.0,0,121010.0,6
11904,25,0,4.0,2,28056.0,3
20315,13,1,10.0,0,34908.0,6
39230,25,1,2.0,0,27252.0,6
37527,36,0,5.0,0,68000.0,6
58167,25,2,12.0,0,51636.0,6
69213,11,0,5.0,0,31128.0,7
9794,35,1,2.0,0,31403.0,6
2710,36,3,5.0,0,80000.0,4
51020,23,0,3.0,0,14232.0,6
32736,2,1,3.0,0,67599.0,6
32431,36,0,10.0,0,107000.0,6
69076,23,3,21.0,0,15180.0,6
47141,23,2,10.0,0,43084.0,6
58823,36,0,1.0,0,135000.0,6
33,36,2,23.0,0,75000.0,9
29890,35,0,2.0,0,45797.0,3
54928,35,1,4.0,0,53643.0,6
65470,23,2,3.0,0,19080.0,6
45053,23,0,3.0,0,12000.0,6
447,23,2,3.0,0,11472.0,6
64827,23,0,8.0,0,26136.0,5
70746,14,0,8.0,0,16752.0,6
31209,2,1,14.0,2,114575.0,6
21659,36,2,10.0,0,75000.0,5
14343,23,2,7.0,0,165000.0,2
3519,6,0,11.0,0,129775.0,6
47125,23,0,5.0,0,28578.0,5
27021,15,1,2.0,0,12540.0,6
23754,10,3,5.0,2,32998.0,6
38365,20,2,11.0,0,77911.0,6
3584,14,0,2.0,0,5037.0,6
48852,35,0,1.0,0,54912.0,6
61733,23,1,8.0,0,63000.0,5
59172,11,2,12.0,0,90262.0,6
25359,6,0,3.0,0,55727.0,6
50239,20,0,16.0,0,91883.0,6
18627,14,0,4.0,0,23788.0,9
3306,36,0,3.0,0,99500.0,6
58807,36,0,12.0,0,230000.0,6
44089,36,0,10.0,0,130000.0,9
27975,23,1,1.0,0,5544.0,10
24237,10,2,6.0,0,63016.0,5
14112,36,1,6.0,0,107000.0,6
38697,14,2,2.0,0,3360.0,6
62327,9,1,18.0,1,57072.0,8
30610,20,0,18.0,0,51559.0,6
65294,16,0,1.0,0,34591.0,6
66539,23,0,2.0,0,65000.0,6
40445,36,3,10.0,0,135000.0,3
36594,10,2,9.0,0,59579.0,6
52430,10,2,33.0,0,64859.0,6
1197,23,0,4.0,0,4152.0,6
1392,36,0,15.0,0,150000.0,4
4197,0,0,6.0,0,32304.0,6
21714,23,0,6.0,0,18720.0,5
4072,11,1,15.0,0,63240.0,6
61564,6,1,4.0,0,34034.0,6
36300,35,2,0.5,0,18840.0,4
55655,19,1,4.0,1,4524.0,6
29034,35,0,20.0,0,91593.0,6
6315,36,0,3.0,0,59000.0,10
45338,23,0,18.0,0,38916.0,5
54396,14,0,2.0,0,9703.0,6
37342,6,0,4.0,0,83972.0,6
55678,35,2,7.0,0,113748.0,2
10088,23,0,1.0,0,56436.0,6
31350,14,0,3.0,0,12454.0,5
50234,17,0,10.0,0,84048.0,3
64136,12,3,9.0,0,15564.0,6
26492,13,2,5.0,0,43308.0,6
20887,36,0,6.0,0,95000.0,6
60498,19,0,10.0,0,22620.0,6
33956,10,0,10.0,0,44684.0,6
6769,23,2,12.0,2,67608.0,6
70518,3,2,10.0,0,64859.0,6
46135,23,0,5.0,0,79956.0,6
12724,14,2,7.0,0,19072.0,6
57594,14,0,2.0,0,18150.0,5
8546,23,0,4.0,0,6312.0,6
42686,4,0,7.0,0,22944.0,6
16703,11,2,15.0,2,123744.0,9
49122,14,2,5.0,0,16754.0,6
47875,14,0,3.0,0,6696.0,6
32594,23,2,2.0,0,5664.0,6
20401,35,1,4.0,0,41871.0,6
48048,11,1,0.5,0,22056.0,6
45261,20,1,8.0,0,54049.0,6
29766,36,0,27.0,0,160000.0,6
42371,36,0,10.0,0,135000.0,4
44058,36,0,25.0,0,180000.0,5
19972,17,0,8.0,0,102264.0,6
22971,34,2,11.0,2,60588.0,6
26586,11,3,8.0,0,71036.0,3
65427,4,0,11.0,0,28860.0,6
57387,10,2,12.0,0,62268.0,6
39094,23,0,4.0,0,5736.0,6
36714,23,0,14.0,0,100000.0,9
5541,30,2,4.0,0,34372.0,5
66638,36,0,4.0,0,150000.0,4
54424,11,2,8.0,0,102693.0,6
34670,6,0,7.0,0,53437.0,6
28156,1,2,20.0,0,68903.0,3
70565,10,2,3.0,0,33510.0,6
34191,36,0,13.0,0,120000.0,6
63409,7,1,7.0,0,25980.0,6
27179,8,0,16.0,0,101280.0,6
49931,10,2,3.0,0,43239.0,6
34277,11,2,6.0,0,68748.0,6
70372,20,0,2.0,0,43239.0,6
2230,23,0,3.0,0,15336.0,3
10294,23,2,9.0,0,66000.0,6
13702,11,2,7.0,0,41244.0,6
15179,12,2,4.0,0,28644.0,6
69149,14,0,1.0,0,8377.0,6
29683,31,2,7.0,0,53028.0,6
39847,36,0,7.0,0,65500.0,3
63991,36,2,4.0,0,64000.0,7
64745,36,0,36.0,0,180000.0,6
20964,0,2,8.0,0,20000.0,6
57693,25,0,6.0,0,42528.0,6
16097,20,2,14.0,2,109992.0,6
48000,23,0,7.0,0,36000.0,9
13274,35,0,12.0,0,98135.0,6
58558,6,0,5.0,0,65799.0,6
16759,12,0,2.0,0,13056.0,3
12235,27,0,7.0,0,30648.0,6
50796,11,3,16.0,0,51888.0,6
50437,31,1,21.0,0,51552.0,6
32129,30,0,13.0,0,41820.0,6
4468,11,2,3.0,0,63016.0,4
48371,31,0,12.0,0,55224.0,6
15878,0,1,10.0,0,19380.0,9
56040,12,1,16.0,0,19890.0,6
61178,2,2,18.0,1,35028.0,6
1372,6,2,23.0,2,13750.0,6
61677,11,2,9.0,1,62697.0,6
6559,1,0,22.0,0,123301.0,6
39317,10,2,6.0,0,45830.0,6
21362,23,0,0.5,0,36664.0,0
57682,34,3,13.0,0,73404.0,5
34246,14,0,3.0,0,2099.0,6
41024,20,0,4.0,1,5729.0,6
60621,14,0,16.0,0,24573.0,6
24983,33,0,8.0,0,23040.0,6
28408,36,1,13.0,0,185000.0,6
60560,36,0,17.0,0,160000.0,6
62006,14,0,3.0,0,5364.0,6
29611,31,0,5.0,0,89368.0,6
58133,1,0,24.0,0,106895.0,6
35146,8,2,10.0,0,101280.0,6
62640,35,2,13.0,0,76263.0,5
70967,36,2,2.0,0,166000.0,6
18861,16,0,27.0,0,171862.0,3
65362,10,1,9.0,0,48644.0,6
37864,24,0,2.0,0,6072.0,5
24953,36,1,2.0,1,12600.0,6
18442,9,1,12.0,0,59808.0,6
6166,36,0,5.0,0,85000.0,6
42440,35,0,8.0,0,49722.0,6
8055,14,1,3.0,2,18468.0,6
46358,6,2,17.0,0,78657.0,6
33628,23,1,4.0,0,72000.0,6
46424,36,0,3.0,0,100000.0,6
45512,34,2,17.0,0,84000.0,9
39050,23,2,0.5,0,6876.0,10
13904,3,2,2.0,0,22956.0,6
37188,36,0,19.0,0,65500.0,6
68050,14,0,3.0,0,11728.0,6
71190,0,1,2.0,0,7200.0,10
38859,36,0,7.0,0,93000.0,0
12042,26,3,2.0,0,16500.0,6
38876,30,2,3.0,0,34372.0,5
34745,9,2,5.0,0,57744.0,5
46463,23,0,2.0,0,39588.0,6
1490,17,0,3.0,0,75876.0,5
32520,19,2,5.0,0,31416.0,5
40704,21,1,8.0,0,62073.0,9
65887,36,0,10.0,0,125000.0,3
46721,14,0,2.0,0,2016.0,9
12790,6,1,1.0,0,43513.0,10
30597,9,0,30.0,0,54996.0,5
33548,20,1,15.0,0,49500.0,3
18450,33,1,15.0,2,34560.0,1
65436,23,2,6.0,0,16524.0,5
45387,36,0,3.0,0,74300.0,6
68402,23,1,4.0,0,3852.0,6
34428,14,0,5.0,0,8396.0,6
4053,14,0,5.0,0,17491.0,6
25802,14,0,0.5,0,4548.0,6
63147,36,2,2.0,0,120000.0,5
51540,11,0,15.0,1,37620.0,6
26668,4,1,5.0,0,7872.0,9
35868,30,3,8.0,0,48121.0,6
43770,36,1,20.0,0,150000.0,9
53851,36,1,6.0,0,65500.0,5
34776,14,0,0.5,0,1680.0,5
46741,14,0,5.0,0,127052.0,9
17826,36,2,15.0,0,198000.0,6
32932,35,0,2.0,0,37946.0,6
43213,14,0,3.0,0,6384.0,6
42952,14,0,3.0,0,40296.0,6
34632,19,0,22.0,0,94236.0,5
5683,36,2,25.0,0,130000.0,0
16431,11,2,10.0,0,61486.0,6
11762,11,1,11.0,0,68745.0,8
19452,23,0,15.0,2,51556.0,6
44180,36,0,8.0,0,165000.0,6
61867,14,0,2.0,0,5028.0,6
45762,27,0,11.0,0,40704.0,6
42925,14,2,5.0,0,11592.0,6
11114,23,0,7.0,0,31102.0,6
41022,22,0,15.0,0,165893.0,6
16392,14,0,2.0,0,4200.0,9
69776,23,2,1.0,0,5952.0,6
58548,26,2,4.0,0,33402.0,6
34614,36,2,4.0,0,125000.0,6
2020,19,0,1.0,0,11304.0,5
10682,36,1,23.0,0,115000.0,6
3758,14,2,5.0,0,5460.0,6
28526,30,0,3.0,0,24061.0,6
70876,36,1,2.0,1,16800.0,6
627,35,0,6.0,0,71966.0,6
27758,36,0,17.0,0,134000.0,6
5785,4,1,2.0,0,13116.0,6
70665,36,0,5.0,0,115000.0,6
49328,18,2,33.0,2,140527.0,6
4795,30,0,19.0,2,41244.0,6
21373,36,0,10.0,2,120000.0,4
63404,14,2,18.0,0,35184.0,6
47773,14,0,8.0,2,16752.0,6
7653,20,2,6.0,0,64620.0,6
31136,20,2,2.0,0,32081.0,5
21948,11,2,3.0,0,52248.0,6
52504,14,2,4.0,0,12566.0,10
46572,14,0,2.0,0,16754.0,6
42984,6,0,36.0,0,94925.0,6
54187,12,0,3.0,2,43250.0,6
40069,36,0,5.0,0,89000.0,6
27202,14,0,0.5,0,30784.0,5
20589,36,2,8.0,0,75000.0,3
67150,4,1,10.0,2,19236.0,2
9987,36,3,12.0,0,99000.0,3
13342,11,0,6.0,0,58433.0,6
42131,20,1,21.0,0,70116.0,8
48662,36,0,10.0,0,97500.0,6
8478,13,0,3.0,0,21648.0,6
37994,14,0,3.0,0,48975.0,6
67334,6,0,2.0,1,37816.0,6
50995,30,2,17.0,0,43239.0,6
56990,23,0,9.0,2,51444.0,6
44705,24,1,20.0,0,13620.0,6
69417,4,0,10.0,0,32988.0,6
58060,23,2,23.0,0,98922.0,4
68452,33,0,3.0,0,23664.0,6
60622,14,0,9.0,0,37697.0,6
6522,15,0,4.0,0,23750.0,6
33483,36,0,15.0,0,125000.0,6
11765,31,2,22.0,0,72912.0,6
10949,1,1,2.0,1,9278.0,6
6687,36,0,4.0,0,80000.0,4
34249,36,0,8.0,0,107000.0,6
50398,34,2,11.0,0,53832.0,6
23468,17,2,26.0,0,164952.0,6
8355,27,2,6.0,0,37596.0,6
4465,4,1,9.0,0,13116.0,0
22964,35,0,4.0,0,39254.0,6
38704,1,0,15.0,0,76156.0,3
27695,36,1,8.0,2,50000.0,6
57187,11,2,12.0,0,76536.0,6
65330,23,2,17.0,2,108100.0,6
27520,14,2,8.0,0,24487.0,6
5866,36,1,0.5,0,34000.0,8
23372,11,1,4.0,0,34368.0,6
59768,35,1,11.0,2,84019.0,6
41537,36,0,13.0,0,90000.0,9
7680,11,0,10.0,0,64162.0,6
53296,28,1,1.0,2,7548.0,5
11960,35,1,32.0,2,117763.0,6
69515,36,0,10.0,0,19200.0,9
57180,23,1,2.0,0,1320.0,3
34943,4,1,6.0,0,26484.0,9
33561,31,1,15.0,2,198840.0,6
28118,21,2,14.0,0,79315.0,6
19682,36,2,7.0,0,93000.0,6
37283,1,2,7.0,0,58024.0,6
68370,23,3,20.0,0,20904.0,5
62750,10,3,5.0,0,33732.0,3
68048,14,0,3.0,0,8377.0,6
26003,36,1,4.0,2,100000.0,9
44101,6,1,20.0,0,75631.0,6
49027,14,0,10.0,0,16752.0,9
39402,14,0,6.0,0,14972.0,6
70709,11,2,4.0,0,51888.0,3
63976,3,2,0.5,0,38916.0,6
28110,36,2,17.0,0,219600.0,6
11241,10,2,14.0,0,41112.0,6
21562,35,2,8.0,0,46451.0,6
9444,35,0,31.0,2,196250.0,2
1967,36,0,6.0,0,71500.0,6
13314,1,0,25.0,2,58000.0,10
9769,2,1,3.0,0,59579.0,10
28431,14,2,7.0,0,7000.0,10
70073,23,0,5.0,0,3528.0,6
55815,25,0,3.0,0,33408.0,6
64081,36,0,4.0,0,175000.0,6
67946,14,2,0.5,0,6981.0,1
59883,11,2,2.0,0,51789.0,6
16469,17,0,14.0,0,148452.0,6
40657,23,1,2.0,0,7380.0,6
16332,25,2,13.0,0,12828.0,5
870,27,2,4.0,0,28920.0,6
23271,20,0,4.0,0,75624.0,10
30335,23,0,2.0,0,3324.0,1
61095,20,1,8.0,0,49296.0,6
32572,28,1,18.0,0,18336.0,6
47911,14,0,2.0,0,34904.0,5
65145,8,0,5.0,0,69468.0,6
5568,20,0,7.0,0,66132.0,6
43383,23,0,2.0,0,31992.0,6
16443,11,0,10.0,0,131761.0,6
56629,2,0,2.0,1,14268.0,2
30918,14,0,3.0,0,6381.0,9
32945,3,1,10.0,0,34372.0,6
71107,14,0,1.0,0,4887.0,6
34858,19,0,4.0,0,18638.0,9
17995,14,0,2.0,0,29385.0,6
26448,0,1,22.0,0,137000.0,6
19243,36,2,2.0,0,90000.0,4
27824,11,1,2.0,0,11004.0,6
64665,36,1,17.0,0,143000.0,9
68116,33,0,3.0,0,12816.0,10
39153,6,2,2.0,0,68705.0,6
52919,35,0,3.0,0,49119.0,6
29518,23,0,8.0,0,54996.0,6
26161,35,2,4.0,0,65424.0,6
52217,36,0,8.0,0,104000.0,6
42310,10,0,3.0,0,45830.0,6
51787,35,2,2.0,0,64630.0,6
26068,36,2,7.0,2,180000.0,0
48066,14,0,7.0,2,8376.0,6
9263,14,0,4.0,0,10495.0,6
54866,31,2,10.0,0,49092.0,6
40183,14,0,3.0,0,46176.0,6
37950,23,2,13.0,2,45830.0,6
71175,23,2,3.0,0,16860.0,3
36858,14,0,0.5,0,1512.0,6
30577,10,2,21.0,0,46752.0,6
36335,23,0,3.0,0,7164.0,6
7091,36,1,18.0,0,80000.0,10
58780,23,1,2.0,0,3288.0,6
65120,14,2,15.0,0,10392.0,6
17530,24,0,1.0,0,3036.0,10
18388,32,0,6.0,0,125579.0,6
40919,14,2,3.0,0,3864.0,6
66625,14,0,3.0,0,60312.0,5
28417,36,1,19.0,0,130000.0,3
21917,36,0,0.5,0,140000.0,6
10947,23,0,11.0,0,37128.0,6
66207,11,2,11.0,2,129718.0,3
53329,18,0,2.0,1,21187.0,6
30430,1,1,20.0,0,108795.0,6
15774,30,1,32.0,0,38496.0,8
68346,11,1,2.0,0,44100.0,3
33603,32,0,18.0,0,120556.0,6
33341,6,0,5.0,0,34352.0,6
15081,36,1,9.0,0,65184.0,6
58247,35,0,15.0,0,113748.0,6
16299,4,0,6.0,0,18360.0,9
33460,10,2,3.0,0,41247.0,6
26077,36,0,1.0,0,120000.0,6
36272,20,0,0.5,0,33000.0,0
9648,36,0,4.0,0,88000.0,6
24638,14,3,0.5,0,4646.0,5
55660,33,0,1.0,0,8388.0,7
65557,3,0,7.0,0,51888.0,6
48103,11,2,5.0,0,59454.0,6
50483,12,1,4.0,0,30267.0,5
44281,35,2,5.0,0,77633.0,5
43193,14,0,11.0,2,59772.0,5
27171,11,2,2.0,0,52934.0,6
34179,20,0,0.5,0,52248.0,6
61686,36,0,22.0,2,96000.0,6
50257,24,0,4.0,0,18672.0,6
58603,14,0,2.0,0,22339.0,6
34240,23,1,15.0,0,61308.0,5
65849,36,2,20.0,2,16000.0,6
70560,35,3,28.0,0,120211.0,3
14926,36,0,13.0,0,150000.0,6
18856,11,0,3.0,0,42624.0,6
4933,11,0,5.0,0,57287.0,6
466,5,1,2.0,0,8424.0,6
65738,19,2,4.0,0,21550.0,5
50616,26,2,10.0,0,54049.0,6
56557,36,1,10.0,0,100000.0,6
19925,14,3,21.0,2,20989.0,3
1484,14,0,6.0,0,7556.0,5
51391,4,0,10.0,0,13740.0,9
40334,4,2,8.0,2,13116.0,5
11062,29,0,4.0,0,18012.0,6
67854,23,2,8.0,0,11532.0,6
43490,36,0,21.0,2,70000.0,6
68518,10,2,12.0,0,67021.0,6
58118,30,2,8.0,2,75669.0,6
51441,10,2,2.0,0,48644.0,6
40012,14,0,4.0,0,13993.0,6
20144,14,2,3.0,0,4704.0,6
54137,14,0,14.0,0,15084.0,5
5503,36,1,5.0,0,60000.0,6
17588,31,0,0.5,0,46392.0,6
63947,29,0,1.0,0,28788.0,6
37151,36,0,10.0,0,75000.0,6
24267,8,0,11.0,0,110484.0,6
407,36,0,11.0,0,240000.0,6
49368,7,2,5.0,0,46764.0,6
61408,4,0,3.0,0,8244.0,6
59887,11,0,1.0,0,19452.0,6
21867,36,0,6.0,0,70000.0,6
20524,6,0,7.0,2,190850.0,6
17017,35,0,5.0,0,130847.0,0
13948,36,2,4.0,0,120000.0,6
48315,32,2,18.0,0,71154.0,5
1402,14,0,3.0,0,39180.0,6
13716,32,3,3.0,0,84891.0,10
14104,36,0,7.0,0,145000.0,10
51895,23,0,6.0,0,28368.0,6
20660,36,0,7.0,0,65000.0,9
63006,9,2,6.0,0,67452.0,6
32123,23,3,7.0,0,34368.0,6
57499,23,0,4.0,0,22008.0,6
47765,28,2,9.0,0,15098.0,6
43964,23,1,10.0,2,194580.0,3
57084,15,2,3.0,0,15672.0,6
26218,6,0,10.0,0,49620.0,6
58216,23,2,4.0,0,14136.0,6
27131,14,0,4.0,0,6720.0,6
60665,14,0,3.0,0,9773.0,6
58041,17,0,19.0,0,136584.0,6
56594,36,0,1.0,0,85000.0,6
39193,14,0,2.0,0,58764.0,6
53067,10,3,8.0,0,70264.0,6
68864,4,0,13.0,0,22536.0,6
41601,36,2,12.0,0,135000.0,6
49717,9,2,17.0,0,64860.0,6
34883,14,2,7.0,0,9576.0,1
231,6,0,15.0,2,122142.0,6
45744,36,0,25.0,0,147000.0,2
1260,3,2,3.0,0,96240.0,6
4345,2,3,6.0,0,48121.0,6
70745,36,0,2.0,0,105000.0,6
39149,36,1,11.0,0,130000.0,6
44640,36,0,7.0,0,80000.0,5
43268,23,2,20.0,2,18000.0,5
62420,36,2,25.0,0,96000.0,6
26053,20,0,8.0,0,80202.0,6
55532,28,0,6.0,2,22644.0,6
59770,23,0,8.0,0,36576.0,6
32918,23,0,0.5,0,4080.0,9
65667,36,3,9.0,0,46000.0,3
24705,36,2,19.0,0,85000.0,6
60941,26,2,12.0,0,25944.0,10
46604,23,0,4.0,0,83838.0,6
55970,18,0,6.0,0,29727.0,6
44832,35,2,30.0,2,227497.0,6
52670,25,2,8.0,0,20352.0,6
22227,23,0,2.0,0,6972.0,6
18619,14,0,2.0,0,22388.0,5
50809,35,0,4.0,0,49894.0,6
11299,23,1,1.0,0,5904.0,5
43806,15,0,4.0,0,25656.0,6
41346,13,0,26.0,2,43308.0,6
37512,35,0,7.0,0,71966.0,6
14148,31,2,23.0,0,66276.0,5
5554,11,2,2.0,0,34368.0,6
19218,14,0,3.0,0,9095.0,6
15969,35,0,3.0,0,46804.0,6
32776,14,2,6.0,0,6720.0,10
57102,36,1,3.0,0,75000.0,6
38730,35,2,6.0,2,91593.0,9
59856,36,0,5.0,0,90000.0,6
65468,35,2,8.0,0,64630.0,9
44850,36,0,2.0,1,80000.0,3
59221,30,1,3.0,0,33510.0,6
30642,36,0,1.0,1,40000.0,3
36767,30,2,9.0,0,67599.0,6
39175,18,2,2.0,0,40101.0,6
2344,36,0,19.0,0,137000.0,2
68834,11,1,5.0,0,46698.0,6
2965,25,0,2.0,1,10980.0,6
32393,35,1,4.0,0,29310.0,9
40340,11,2,1.0,0,68745.0,5
36470,4,0,5.0,0,32784.0,6
46695,23,2,2.0,0,44965.0,5
