Country,EdLevel,YearsCodePro,Employment,Salary,UndergradMajor
8,1,5.0,0,92073.0,6
35,2,7.0,0,235525.0,6
14,2,16.0,2,11194.0,6
36,1,9.0,0,135000.0,2
23,0,1.0,0,29225.0,9
36,2,9.0,0,123000.0,6
36,0,16.0,0,130000.0,6
17,0,3.0,0,79176.0,6
28,2,8.0,0,23832.0,6
36,0,10.0,2,100000.0,10
16,2,4.0,0,63016.0,6
36,1,10.0,0,130000.0,10
36,2,8.0,0,115000.0,6
11,0,7.0,0,72182.0,6
6,0,12.0,2,164892.0,0
20,1,8.0,1,75624.0,3
1,1,29.0,0,89212.0,6
36,2,0.5,0,140000.0,6
23,1,10.0,0,49500.0,6
24,0,0.5,0,2600.0,6
36,0,1.0,2,55000.0,9
18,0,0.5,0,26352.0,6
36,1,8.0,0,84000.0,6
25,1,3.0,0,29184.0,6
36,0,0.5,0,6000.0,6
36,1,8.0,0,140000.0,5
36,0,2.0,0,105000.0,6
35,0,21.0,2,35376.0,6
23,2,11.0,0,30000.0,6
30,2,2.0,0,21769.0,6
17,0,5.0,0,98964.0,6
34,1,10.0,0,48000.0,6
10,3,13.0,0,50700.0,6
11,0,2.0,0,65308.0,6
17,0,3.0,0,85776.0,6
31,0,2.0,0,51696.0,6
36,0,2.0,1,9000.0,4
36,0,1.0,0,55000.0,6
19,1,13.0,0,38952.0,6
10,2,1.0,0,46992.0,6
23,2,5.0,2,36000.0,6
4,0,12.0,0,46442.0,6
36,2,1.0,0,57000.0,5
36,0,2.0,0,125000.0,2
25,0,6.0,0,40404.0,5
24,0,6.0,0,13608.0,6
10,0,14.0,0,63016.0,0
36,0,4.0,0,151000.0,6
36,0,2.0,0,55000.0,10
0,0,2.0,0,6168.0,6
36,1,8.0,0,100000.0,8
4,0,5.0,0,9840.0,6
14,2,4.0,0,94451.0,6
1,0,26.0,0,75431.0,6
10,0,0.5,0,34368.0,4
36,2,0.5,0,140000.0,9
14,2,5.0,0,16788.0,6
36,0,10.0,0,165000.0,6
36,0,19.0,0,194900.0,3
36,0,30.0,0,135000.0,6
1,0,18.0,0,60924.0,6
36,1,2.0,0,30000.0,6
17,2,10.0,0,95664.0,5
13,2,20.0,0,25980.0,6
10,3,25.0,0,110509.0,6
14,2,5.0,0,10495.0,6
30,2,6.0,0,53392.0,6
14,2,4.0,0,10800.0,6
36,3,12.0,0,154000.0,4
36,0,15.0,0,92000.0,6
4,2,11.0,0,28572.0,6
10,2,3.0,0,23928.0,10
31,2,20.0,0,84840.0,6
36,1,33.0,0,130000.0,6
36,1,2.0,0,40000.0,6
35,2,9.0,0,104678.0,6
32,2,4.0,0,96445.0,6
21,1,2.0,0,48279.0,6
35,2,0.5,0,44488.0,6
36,0,15.0,0,125000.0,4
23,0,1.0,0,39756.0,6
36,0,20.0,0,125000.0,6
36,0,4.0,0,80000.0,2
30,0,4.0,0,52704.0,6
4,0,4.0,0,7344.0,10
15,0,6.0,0,12828.0,6
35,2,0.5,0,34020.0,6
23,2,5.0,0,59124.0,6
1,0,4.0,0,58024.0,6
21,0,20.0,0,85776.0,6
2,0,9.0,0,61870.0,6
36,2,3.0,0,131000.0,2
11,0,5.0,0,57287.0,6
36,1,21.0,0,85000.0,8
14,2,6.0,0,9655.0,6
6,0,15.0,2,122142.0,6
28,0,6.0,0,29328.0,10
25,0,3.0,0,33348.0,6
7,2,19.0,0,85524.0,6
35,1,5.0,0,36637.0,10
14,2,4.0,2,2520.0,6
14,2,2.0,0,4200.0,6
14,2,4.0,0,4536.0,6
14,0,1.0,0,4897.0,6
14,0,5.0,0,5880.0,6
10,0,5.0,0,42393.0,2
35,0,10.0,2,130847.0,6
35,0,5.0,0,78508.0,6
25,0,6.0,0,80150.0,5
25,1,8.0,0,33348.0,6
10,2,18.0,0,68745.0,10
36,2,2.0,0,97000.0,6
23,0,4.0,0,7080.0,6
23,2,3.0,0,29858.0,5
35,1,25.0,2,196250.0,2
7,0,1.0,2,68424.0,6
36,0,1.0,0,58000.0,6
36,2,15.0,0,190000.0,5
36,2,0.5,2,48000.0,0
36,2,5.0,0,90000.0,6
2,0,5.0,0,52704.0,6
14,0,3.0,0,11894.0,6
34,2,5.0,0,2300.0,5
36,3,7.0,0,90000.0,5
28,0,6.0,0,20532.0,5
36,2,2.0,0,125000.0,0
23,0,4.0,0,37531.0,6
36,1,35.0,0,145000.0,5
36,0,10.0,0,110000.0,6
14,0,1.0,0,7276.0,6
6,2,4.0,0,83972.0,3
20,2,4.0,0,48259.0,6
36,0,2.0,0,53500.0,6
6,0,14.0,0,68705.0,6
31,1,11.0,0,79536.0,6
20,0,5.0,0,48120.0,6
5,1,3.0,0,9132.0,6
36,0,7.0,0,140000.0,6
10,3,20.0,0,49267.0,6
11,2,18.0,0,120304.0,6
36,2,14.0,2,180000.0,6
6,3,18.0,0,38169.0,3
17,1,0.5,0,20580.0,6
36,0,15.0,0,104000.0,10
15,0,2.0,2,1992.0,9
8,1,25.0,0,88390.0,9
23,0,5.0,0,30240.0,10
23,1,2.0,2,3684.0,6
36,0,7.0,0,100000.0,6
23,1,8.0,0,17868.0,10
0,1,3.0,0,16152.0,6
11,0,6.0,0,68745.0,5
36,0,11.0,0,190000.0,6
20,0,13.0,0,80202.0,6
34,1,6.0,0,60000.0,6
11,0,3.0,0,48804.0,6
36,1,12.0,0,104000.0,6
14,2,6.0,0,22388.0,6
11,2,10.0,0,90514.0,6
32,2,15.0,0,135625.0,5
36,0,6.0,0,72500.0,6
36,2,8.0,0,11400.0,6
30,3,9.0,0,22915.0,6
28,2,15.0,0,36000.0,9
11,2,14.0,0,91660.0,6
15,2,7.0,0,14256.0,6
6,0,3.0,0,64888.0,4
22,2,4.0,0,71097.0,6
1,1,1.0,1,39891.0,6
24,0,7.0,0,13440.0,6
35,0,0.5,0,46909.0,3
23,0,9.0,0,20628.0,6
14,0,7.0,0,12000.0,9
36,2,10.0,0,125000.0,6
29,0,21.0,0,70248.0,6
26,2,6.0,0,15120.0,6
36,0,10.0,0,105000.0,2
36,0,10.0,0,110000.0,10
23,1,19.0,0,85788.0,9
35,0,20.0,0,41871.0,6
36,0,37.0,0,100000.0,6
36,2,3.0,0,82000.0,6
35,2,2.0,0,48544.0,9
36,2,12.0,0,147000.0,6
20,2,20.0,0,27492.0,6
14,0,6.0,0,15042.0,6
10,2,5.0,0,45830.0,6
14,0,4.0,0,10075.0,5
0,1,4.0,2,58140.0,6
14,2,8.0,0,16284.0,6
35,2,25.0,0,32712.0,5
36,1,10.0,0,65000.0,0
35,1,17.0,0,34675.0,9
28,1,0.5,0,10356.0,9
36,2,6.0,0,90000.0,6
14,2,3.0,0,30228.0,6
3,0,5.0,0,45372.0,6
36,0,3.0,0,97000.0,0
34,0,10.0,0,47604.0,6
36,0,13.0,0,125000.0,6
36,1,6.0,0,128000.0,8
36,1,6.0,0,80000.0,6
4,2,2.0,0,9840.0,6
29,1,12.0,0,56291.0,9
36,1,3.0,0,42000.0,6
10,0,7.0,0,40101.0,6
36,0,14.0,0,87000.0,10
36,1,12.0,0,55000.0,6
11,0,3.0,0,53850.0,6
36,0,3.0,0,77000.0,6
33,0,4.0,0,23040.0,5
36,0,14.0,0,103000.0,6
6,1,1.0,0,46699.0,6
36,0,6.0,0,122473.0,6
20,0,1.0,0,38496.0,0
36,2,5.0,0,68000.0,6
31,2,8.0,0,68745.0,6
4,1,5.0,0,13116.0,10
10,0,1.0,0,24061.0,6
1,2,8.0,0,71364.0,9
27,0,5.0,0,23136.0,0
33,0,14.0,0,30720.0,6
36,0,16.0,0,125000.0,6
36,2,23.0,0,121000.0,9
11,0,3.0,1,27492.0,6
36,0,18.0,0,230000.0,6
14,0,4.0,0,10000.0,6
36,2,3.0,0,80000.0,9
36,0,10.0,0,125000.0,6
36,1,33.0,0,100000.0,6
35,1,0.5,0,56264.0,8
36,1,3.0,1,44000.0,6
28,1,0.5,0,8244.0,6
20,0,5.0,0,50413.0,6
10,2,15.0,0,24061.0,6
6,0,10.0,0,68705.0,6
23,0,10.0,0,12226.0,6
20,1,10.0,0,42624.0,9
36,0,7.0,0,120000.0,6
36,0,4.0,0,230000.0,6
36,1,10.0,2,80000.0,10
36,0,7.0,0,232000.0,6
36,0,9.0,0,104000.0,6
36,0,20.0,0,185000.0,6
23,1,6.0,0,25692.0,3
23,2,8.0,0,21708.0,6
36,0,7.0,0,155000.0,6
7,2,8.0,2,37416.0,6
4,0,6.0,2,14748.0,6
30,1,10.0,0,51559.0,6
23,0,1.0,0,16548.0,6
36,0,5.0,0,123500.0,6
18,1,3.0,1,16500.0,6
6,3,5.0,0,36642.0,3
36,0,19.0,0,165000.0,6
36,0,1.0,0,45000.0,6
29,2,0.5,0,29724.0,5
25,0,2.0,2,25400.0,6
14,0,2.0,0,4198.0,6
23,0,3.0,0,16116.0,9
35,2,20.0,2,125616.0,6
11,2,3.0,0,64162.0,6
36,0,2.0,0,82000.0,6
8,1,2.0,2,11500.0,6
35,3,1.0,0,31403.0,5
35,0,11.0,0,81125.0,6
23,2,2.0,0,35940.0,5
1,1,20.0,2,94289.0,9
33,3,18.0,0,27648.0,6
6,2,7.0,0,99240.0,3
1,0,19.0,0,108795.0,6
36,0,11.0,0,240000.0,6
32,0,11.0,0,72333.0,10
11,2,14.0,2,68745.0,6
36,2,5.0,0,94000.0,6
36,0,7.0,0,95000.0,6
14,2,6.0,0,15392.0,6
14,0,0.5,0,2520.0,6
23,0,0.5,0,1656.0,6
17,0,3.0,0,77196.0,5
23,1,15.0,2,84000.0,6
11,2,16.0,0,79973.0,6
36,0,6.0,0,86000.0,6
29,0,23.0,0,90072.0,6
36,0,5.0,0,90000.0,6
1,1,7.0,0,58024.0,10
36,2,5.0,0,81000.0,6
23,0,4.0,0,24372.0,6
14,0,3.0,0,16791.0,6
1,0,22.0,1,58024.0,4
17,0,6.0,0,59376.0,6
35,0,21.0,0,78508.0,6
36,0,1.0,0,140000.0,6
35,0,5.0,0,45797.0,6
36,0,2.0,0,66000.0,6
36,0,6.0,0,55000.0,6
35,0,8.0,0,62728.0,6
36,0,3.0,0,95000.0,6
26,0,7.0,0,35748.0,6
18,1,1.0,0,20628.0,6
36,0,5.0,0,84000.0,3
35,0,29.0,0,150474.0,6
36,0,3.0,0,125000.0,4
23,1,3.0,0,5808.0,6
30,3,20.0,0,56142.0,6
23,0,10.0,2,51000.0,6
14,2,5.0,0,10080.0,6
28,2,6.0,0,11916.0,6
28,1,7.0,0,14664.0,6
6,2,10.0,0,68705.0,6
4,1,3.0,0,8520.0,6
23,2,3.0,0,11472.0,6
23,2,10.0,0,23220.0,6
35,0,4.0,0,40563.0,6
15,0,2.0,2,4272.0,6
16,3,16.0,1,40101.0,6
28,2,3.0,0,27504.0,6
9,2,5.0,0,57744.0,6
36,0,4.0,0,70000.0,5
19,1,20.0,0,25128.0,6
6,2,12.0,0,209931.0,6
36,0,19.0,0,129000.0,6
34,2,8.0,0,19236.0,6
10,3,1.0,0,27492.0,10
36,0,14.0,0,238000.0,9
14,0,8.0,0,19590.0,6
35,2,5.0,0,19627.0,3
25,0,7.0,0,32064.0,9
9,0,4.0,0,50184.0,6
35,1,0.5,0,13085.0,8
5,1,2.0,0,8424.0,6
23,0,7.0,0,21504.0,6
36,0,7.0,0,80000.0,6
35,3,10.0,2,85051.0,5
5,1,11.0,0,29136.0,6
4,0,2.0,0,11148.0,6
36,0,14.0,0,155000.0,6
35,0,3.0,0,5182.0,6
1,0,13.0,2,130554.0,6
6,0,9.0,0,129775.0,5
36,0,3.0,0,60000.0,9
23,0,16.0,0,18000.0,9
36,0,0.5,0,94600.0,9
36,0,5.0,0,98000.0,6
21,0,8.0,0,62073.0,6
1,0,15.0,0,68903.0,6
0,1,2.0,0,8076.0,6
36,2,6.0,0,200000.0,6
30,0,12.0,0,52704.0,6
14,0,1.0,0,4478.0,6
33,3,11.0,0,18888.0,5
36,0,28.0,0,105000.0,8
23,2,10.0,0,173524.0,9
36,2,3.0,0,100000.0,6
36,0,6.0,0,180000.0,6
36,1,21.0,0,130000.0,0
18,2,20.0,0,49267.0,6
36,2,11.0,0,140000.0,5
35,1,1.0,0,26169.0,6
20,1,8.0,0,45830.0,6
23,0,2.0,0,10000.0,6
36,0,7.0,0,140000.0,6
36,2,15.0,2,250000.0,6
35,0,3.0,0,71966.0,6
30,0,6.0,2,106250.0,9
35,0,10.0,2,130847.0,6
35,2,2.0,0,49722.0,6
19,1,5.0,0,37692.0,6
36,0,4.0,0,81810.0,6
12,1,2.0,2,22915.0,6
33,0,0.5,0,5760.0,6
23,2,7.0,0,40101.0,6
23,2,12.0,0,53184.0,6
36,0,6.0,0,165000.0,6
11,0,5.0,0,46517.0,6
7,1,21.0,0,27264.0,6
18,2,2.0,0,17184.0,6
2,2,10.0,0,72984.0,6
36,0,3.0,0,230000.0,6
36,2,6.0,0,114000.0,6
14,0,0.5,0,3848.0,5
0,2,34.0,0,19380.0,5
35,0,4.0,2,143950.0,6
36,1,26.0,0,115000.0,8
36,0,2.0,0,110000.0,0
36,0,19.0,0,149500.0,6
23,0,6.0,0,54797.0,2
36,0,12.0,0,130000.0,3
10,2,13.0,0,80202.0,6
23,0,7.0,0,11472.0,6
20,0,20.0,0,82488.0,6
15,0,8.0,0,18528.0,6
23,3,4.0,0,23304.0,6
36,0,5.0,0,107000.0,6
12,0,5.0,0,48120.0,6
30,2,10.0,0,34372.0,6
23,2,15.0,0,68745.0,9
11,0,2.0,0,45830.0,9
19,0,4.0,0,18852.0,6
15,0,3.0,0,4848.0,10
34,2,3.0,0,64128.0,6
4,2,4.0,0,31800.0,6
23,0,11.0,0,18528.0,6
11,2,11.0,0,67256.0,3
6,3,17.0,0,167945.0,0
5,2,4.0,0,21060.0,5
23,1,4.0,0,14484.0,6
14,0,3.0,0,13993.0,6
36,1,13.0,2,200000.0,6
30,1,4.0,0,40101.0,2
30,1,4.0,0,57287.0,6
35,1,3.0,0,45797.0,6
27,1,5.0,0,54996.0,6
1,3,11.0,0,53672.0,3
22,2,5.0,0,67548.0,6
6,0,26.0,0,99240.0,6
23,3,1.0,0,5436.0,10
36,0,5.0,0,55000.0,10
18,0,2.0,0,21996.0,6
35,0,21.0,0,78508.0,0
36,0,20.0,0,180000.0,4
25,0,0.5,0,8016.0,5
36,3,27.0,0,161000.0,5
14,0,6.0,0,10080.0,6
23,0,7.0,0,40614.0,6
23,2,12.0,0,34836.0,6
11,2,6.0,0,64788.0,6
36,0,5.0,0,95000.0,6
23,0,4.0,0,14376.0,6
10,1,4.0,0,24060.0,6
3,2,5.0,0,57287.0,6
0,1,7.0,0,34524.0,6
23,0,4.0,0,53316.0,6
36,1,4.0,0,120000.0,10
15,2,5.0,0,4272.0,6
32,3,7.0,0,210973.0,6
36,0,10.0,0,190000.0,6
23,2,16.0,0,27956.0,9
32,0,11.0,0,120556.0,6
15,2,6.0,0,22800.0,6
10,2,5.0,0,39876.0,6
23,0,13.0,0,38220.0,5
6,0,18.0,0,76339.0,6
36,0,3.0,0,130000.0,0
29,0,20.0,0,94572.0,6
36,2,5.0,0,115000.0,5
6,2,5.0,0,45803.0,10
6,1,18.0,0,71758.0,8
23,1,30.0,2,13752.0,6
36,0,2.0,0,110000.0,0
20,1,2.0,2,164988.0,9
14,0,0.5,0,22388.0,6
36,0,10.0,0,120000.0,6
30,0,5.0,0,64162.0,6
12,1,3.0,0,13749.0,5
22,0,2.0,0,59247.0,6
4,0,6.0,0,14748.0,6
10,2,17.0,2,68745.0,6
35,1,30.0,0,132156.0,3
36,1,12.0,0,127741.0,9
31,0,3.0,0,66276.0,9
21,3,3.0,0,43538.0,1
36,0,11.0,0,105000.0,6
9,2,0.5,2,68748.0,2
23,2,6.0,0,16308.0,6
36,2,5.0,0,98000.0,6
31,0,7.0,0,45072.0,6
35,1,14.0,2,163550.0,6
36,2,11.0,0,108000.0,6
23,0,4.0,2,100000.0,6
36,2,1.0,0,70000.0,9
36,2,15.0,0,179000.0,6
21,0,6.0,0,93109.0,6
36,0,17.0,0,123000.0,9
36,2,7.0,0,177000.0,6
30,2,7.0,0,56142.0,6
18,2,12.0,0,34372.0,6
30,0,10.0,0,25436.0,6
14,0,2.0,0,24277.0,6
30,3,7.0,0,17868.0,8
30,2,10.0,0,68745.0,6
14,0,3.0,0,218292.0,6
36,0,12.0,0,90000.0,5
11,0,3.0,0,52246.0,6
36,0,25.0,0,105000.0,0
36,0,3.0,0,74000.0,6
26,0,12.0,2,21996.0,6
14,1,5.0,0,6996.0,6
36,0,22.0,0,105000.0,2
35,0,2.0,0,37810.0,6
20,0,10.0,0,65308.0,6
35,0,6.0,0,71966.0,6
36,1,5.0,0,75000.0,6
36,3,15.0,0,75000.0,3
36,0,10.0,0,106000.0,6
23,0,3.0,0,21996.0,6
22,0,12.0,0,106645.0,6
31,0,6.0,0,59652.0,6
36,3,4.0,0,156000.0,6
6,1,5.0,0,80155.0,6
23,1,10.0,0,23160.0,6
12,1,1.0,0,14364.0,6
35,0,1.0,0,52339.0,2
35,0,1.0,0,35329.0,6
11,2,11.0,0,91660.0,6
36,2,6.0,0,200000.0,6
36,0,7.0,0,61000.0,6
25,2,15.0,0,51300.0,6
35,0,12.0,0,117763.0,6
6,0,2.0,0,40459.0,5
20,2,9.0,0,68745.0,6
36,0,10.0,2,80000.0,6
23,2,7.0,0,4404.0,6
23,0,15.0,0,41244.0,6
36,0,8.0,0,200000.0,6
29,0,20.0,0,67548.0,6
22,2,17.0,0,159968.0,6
10,2,12.0,0,35748.0,6
20,1,13.0,0,64162.0,8
36,0,5.0,0,95000.0,10
11,3,8.0,0,85931.0,3
8,0,25.0,0,101280.0,6
11,2,4.0,1,24060.0,5
23,2,6.0,0,5950.0,6
30,3,7.0,0,76994.0,9
35,0,8.0,0,52339.0,3
4,0,7.0,0,28412.0,6
36,0,2.0,0,65000.0,6
23,0,6.0,0,32256.0,6
23,0,0.5,0,3168.0,6
19,2,10.0,2,28272.0,0
36,0,3.0,0,70000.0,6
14,2,4.0,0,7836.0,6
25,0,2.0,0,24048.0,6
6,0,12.0,0,80155.0,6
35,0,8.0,0,99444.0,6
6,0,7.0,0,53437.0,6
30,0,2.0,0,15120.0,6
36,0,19.0,0,112000.0,6
20,0,8.0,0,183320.0,6
30,1,12.0,0,51559.0,6
35,2,12.0,0,81780.0,6
6,0,21.0,0,114508.0,3
25,0,8.0,2,88179.0,6
25,1,11.0,2,53442.0,4
36,0,22.0,0,120000.0,6
23,0,2.0,0,5976.0,6
23,1,5.0,0,35580.0,10
35,0,24.0,2,196250.0,6
36,2,20.0,0,165000.0,6
11,0,5.0,0,97389.0,0
4,2,13.0,0,32784.0,9
12,0,1.0,0,10104.0,6
28,0,10.0,0,100000.0,6
20,0,12.0,0,83640.0,6
23,2,5.0,1,25692.0,6
11,2,6.0,0,63016.0,6
15,0,6.0,0,17100.0,6
36,0,15.0,0,110000.0,6
20,2,5.0,0,57287.0,3
36,0,2.0,0,95000.0,6
25,2,5.0,0,23088.0,6
36,2,12.0,0,230000.0,4
36,0,13.0,0,170000.0,6
35,0,6.0,0,85051.0,3
29,1,5.0,0,36024.0,6
14,0,1.0,0,3360.0,6
16,0,21.0,2,160405.0,6
28,3,10.0,0,33000.0,6
23,1,2.0,0,18000.0,5
2,1,11.0,0,97389.0,9
11,2,3.0,0,51559.0,6
36,0,2.0,0,92000.0,6
4,0,9.0,2,11472.0,6
14,2,14.0,0,23788.0,6
36,2,9.0,0,200000.0,6
14,0,18.0,0,55971.0,5
35,0,11.0,0,62807.0,6
6,0,13.0,0,72522.0,6
25,1,11.0,2,35268.0,6
28,1,4.0,0,11004.0,9
36,0,7.0,0,114000.0,6
17,2,1.0,0,61032.0,2
12,0,4.0,0,48121.0,6
25,0,2.0,0,12828.0,6
14,0,3.0,0,7696.0,6
32,1,9.0,0,120556.0,6
1,0,9.0,0,68903.0,10
16,3,7.0,0,119158.0,6
35,3,8.0,1,39254.0,6
31,1,2.0,2,41892.0,6
18,2,5.0,0,54996.0,6
5,0,1.0,0,9132.0,0
23,0,10.0,0,44460.0,5
24,0,1.0,0,2172.0,6
25,3,8.0,0,14940.0,5
36,0,4.0,0,70000.0,6
23,2,11.0,0,23868.0,6
25,0,5.0,0,41688.0,6
36,0,7.0,0,92000.0,9
24,2,3.0,2,7188.0,5
14,0,1.0,0,9235.0,6
25,1,2.0,0,20844.0,6
20,2,6.0,0,43260.0,2
15,0,4.0,0,19956.0,6
14,2,7.0,0,30784.0,3
25,1,6.0,2,49380.0,6
11,3,6.0,0,72182.0,3
30,2,5.0,0,33000.0,6
35,2,3.0,0,45797.0,6
31,2,19.0,0,84840.0,6
11,1,22.0,0,85931.0,6
36,0,1.0,0,106000.0,6
6,3,6.0,0,45803.0,10
23,0,8.0,0,61463.0,5
0,1,2.0,0,30684.0,8
35,0,1.0,0,41871.0,6
35,1,5.0,0,52339.0,8
11,0,7.0,0,82494.0,6
23,3,14.0,0,28248.0,3
31,0,7.0,0,66276.0,6
7,2,20.0,0,35637.0,6
23,2,6.0,0,9144.0,6
24,0,6.0,0,10404.0,10
27,2,6.0,2,86750.0,6
36,0,16.0,0,160000.0,6
35,0,7.0,0,48413.0,6
4,0,4.0,0,13440.0,6
36,0,10.0,0,180000.0,6
13,2,5.0,0,47640.0,3
23,0,5.0,2,6684.0,6
36,0,6.0,0,165000.0,6
35,1,8.0,0,35329.0,6
36,0,5.0,0,146000.0,3
36,2,4.0,0,140000.0,3
36,0,39.0,2,150000.0,6
14,0,2.0,0,4198.0,9
36,0,35.0,0,225000.0,6
23,0,10.0,0,36664.0,6
23,0,0.5,0,1632.0,9
35,2,14.0,0,71966.0,6
36,2,5.0,0,92000.0,6
23,0,4.0,2,34368.0,6
25,2,10.0,0,44892.0,6
3,2,17.0,2,151250.0,5
23,2,1.0,0,16613.0,5
11,2,6.0,2,23376.0,6
23,0,7.0,0,6996.0,5
14,2,4.0,0,19590.0,6
36,1,10.0,2,115863.0,10
11,2,10.0,0,77911.0,6
14,0,12.0,0,34982.0,5
36,0,0.5,0,35006.0,6
22,2,5.0,0,71100.0,6
11,2,6.0,0,89364.0,6
30,0,40.0,0,63016.0,6
36,0,33.0,0,220000.0,6
36,0,18.0,0,150000.0,0
36,2,1.0,0,66000.0,2
36,0,1.0,0,100000.0,6
35,2,5.0,0,74583.0,6
36,0,20.0,0,130000.0,5
18,2,8.0,0,32081.0,6
11,0,20.0,2,96240.0,6
28,2,7.0,0,8244.0,6
25,2,7.0,0,41688.0,6
23,0,3.0,0,3588.0,6
20,2,13.0,0,137490.0,6
1,1,12.0,0,90662.0,3
36,0,4.0,0,64000.0,3
23,0,3.0,0,10032.0,6
36,0,4.0,0,107500.0,4
23,1,3.0,2,1332.0,6
4,0,3.0,0,3276.0,10
20,0,6.0,0,48121.0,10
3,0,12.0,0,48120.0,9
9,2,3.0,0,47160.0,5
32,2,3.0,0,83183.0,6
5,0,13.0,2,82494.0,6
29,2,7.0,1,37528.0,5
6,0,3.0,0,51147.0,6
36,3,12.0,0,150000.0,6
36,2,11.0,0,92000.0,6
